,DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,Área Sembrada(ha),Área Cosechada(ha),Producción(t),Rendimiento(t/ha)
1446,29,439,0,2.0,39,25,250,10.0
1447,29,253,0,2.0,34,20,160,8.0
1448,29,685,0,2.0,33,29,290,10.0
1449,29,980,0,2.0,33,27,324,12.0
1450,29,131,0,2.0,32,27,398,15.0
1451,29,692,0,2.0,31,29,290,10.0
1452,29,110,0,2.0,30,27,270,10.0
1453,29,952,0,2.0,27,17,204,12.0
1454,29,550,0,2.0,27,27,266,10.0
1455,29,769,0,2.0,23,21,193,9.2
1456,29,435,0,2.0,22,21,424,20.0
1457,29,155,0,2.0,21,21,318,15.0
1458,29,904,0,2.0,15,12,108,9.0
1459,29,109,0,2.0,14,12,84,7.0
1460,29,910,0,2.0,13,12,96,8.0
1461,29,270,0,2.0,11,6,44,8.0
1462,29,305,0,2.0,9,8,144,18.0
1463,29,129,0,2.0,5,3,15,5.0
1464,29,395,0,2.0,5,5,40,8.0
1465,29,625,0,2.0,2,2,20,10.0
1466,31,430,0,2.0,4,2,5,3.2
1467,1,837,0,2.0,36,10,75,7.5
1468,5,768,0,2.0,97,44,220,5.0
1469,9,394,0,2.0,81,75,375,5.0
1470,13,662,0,2.0,16,4,24,6.0
1471,17,308,0,2.0,12,10,60,6.0
1472,21,462,0,2.0,18,14,98,7.0
1473,1,930,0,,2490,1616,53328,33.0
